--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
131,Yeon Je-woon,kr KOR,DF,Jeonbuk,31-364,1994,5,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3040570c
132,Yu Jeho,kr KOR,MF,Gwangju FC,26-012,2000,17,14,1179,13.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,564be0fa
133,Kim Jeong-Hyun,kr KOR,MF,FC Anyang,33-087,1993,21,19,1527,17.0,1,0,1,1,0,0,5,1,0.06,0.00,0.06,0.06,0.06,Matches,41e8bc92
134,Son Jeongbeom,kr KOR,MFFW,FC Seoul,18-333,2007,22,14,1086,12.1,1,3,4,1,0,0,1,1,0.08,0.25,0.33,0.08,0.33,Matches,f2ecca12
135,Kim JeongHoon,kr KOR,GK,FC Anyang,25-129,2001,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,345bb582
136,Park Jeonghun,kr KOR,MFFW,FC Anyang,22-006,2004,6,2,191,2.1,0,1,1,0,0,0,1,0,0.00,0.47,0.47,0.00,0.47,Matches,de7c8518
137,Park Jeongin,kr KOR,FW,Bucheon FC,25-324,2000,7,2,189,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,64d36b21
138,Park Jeongin,kr KOR,FWMF,Gwangju FC,25-324,2000,9,7,476,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,64d36b21
139,Eo Jeongwon,kr KOR,DFMF,Pohang Steelers,27-050,1999,24,22,1998,22.2,0,2,2,0,0,1,4,0,0.00,0.09,0.09,0.00,0.09,Matches,415271d2
140,Han Ji-ho,kr KOR,FWMF,Bucheon FC,37-255,1988,13,5,374,4.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,09a46932
141,Park Ji-soo,kr KOR,DF,Jeonbuk,32-075,1994,8,5,521,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,cb7a0acf
142,Lee Jiho,kr KOR,FW,Gangwon FC,24-133,2002,2,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b4b76bb7
143,Kang Jihoon,kr KOR,DFMF,FC Anyang,29-233,1997,18,11,1045,11.6,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches,d1d67516
144,Kim JiHoon,kr KOR,DF,FC Anyang,21-317,2004,5,1,141,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,08bd7baf
145,Joung Jihun,kr KOR,MFFW,Gwangju FC,22-140,2004,21,17,1343,14.9,1,1,2,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,Matches,ebacc162
146,Kim Jin-gyu,kr KOR,MF,Jeonbuk,29-184,1997,24,23,1835,20.4,2,1,3,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matches,7c0479b1
147,Lee Jin-hyun,kr KOR,MFFW,Ulsan HD,29-001,1997,21,17,1263,14.0,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,90624e56
148,Kim Jin-su,kr KOR,DF,FC Seoul,34-075,1992,23,21,1923,21.4,0,3,3,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,Matches,8e6ff136
149,Kim Jin-ya,kr KOR,DF,Daejeon Hana,28-058,1998,3,2,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f24e11d
150,Kim Jinho,kr KOR,DF,Gwangju FC,26-218,2000,12,8,835,9.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,4d39aa4c
151,Park Jinseong,kr KOR,DF,Sangmu,25-104,2001,5,4,324,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,36c23c13
152,Seo Jinsu,kr KOR,MFFW,Daejeon Hana,25-313,2000,20,13,1179,13.1,4,3,7,4,0,0,1,0,0.31,0.23,0.53,0.31,0.53,Matches,3b022f77
153,Bae Jinwoo,kr KOR,DF,Gwangju FC,24-216,2002,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cad836fc
154,Lee Jinyong,kr KOR,MF,FC Anyang,25-118,2001,15,6,616,6.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,468819c5
155,Mun Jiwhan,kr KOR,MF,Incheon United,32-032,1994,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e433016
156,Lim Jong-eun,kr KOR,DF,Daejeon Hana,36-070,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c734146f
157,Yoon Jong-gyu,kr KOR,DF,Ulsan HD,28-160,1998,3,2,193,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b6af1ad
158,Baek Jongbum,kr KOR,GK,Sangmu,25-218,2001,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7c216b30
159,Kim Jongmin,kr KOR,DF,Bucheon FC,25-136,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa84ec7d
160,Kim Jongsuk,kr KOR,FW,Gwangju FC,31-259,1994,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,570d2058
161,Kim Jongwoo,kr KOR,MFDF,Bucheon FC,32-330,1993,16,10,754,8.4,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,0c409e7e
162,Lee Joohyun,kr KOR,GK,Jeonbuk,27-264,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5049c562
163,Lee Ju-yong,kr KOR,DF,Incheon United,33-335,1992,23,20,1883,20.9,1,4,5,1,0,0,4,0,0.05,0.19,0.24,0.05,0.24,Matches,fa2685fe
164,Kim Juchan,kr KOR,MF,Sangmu,22-151,2004,16,13,879,9.8,2,0,2,2,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,27d3e87c
165,Ivan Jukić,ba BIH,MFFW,FC Anyang,30-067,1996,10,6,540,6.0,0,4,4,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches,39a945ac
166,Choi Jun,kr KOR,DF,FC Seoul,27-132,1999,24,21,1939,21.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,9547dffe
167,Kim Junbum,kr KOR,FWMF,Daejeon Hana,28-225,1998,5,4,228,2.5,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,b86e439c
168,Lee Jungtaek,kr KOR,DF,Sangmu,28-096,1998,23,23,1972,21.9,1,3,4,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,Matches,59235d98
169,Kim Junha,kr KOR,MFFW,Jeju United,20-268,2005,21,10,1052,11.7,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches,6da9f1be
170,Kang Junhyuk,kr KOR,DF,Gangwon FC,26-311,1999,23,22,1822,20.2,0,2,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,5603064d
171,Song Junseok,kr KOR,DF,Gangwon FC,25-202,2001,16,16,1264,14.0,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches,609fc015
172,Byun Junsoo,kr KOR,DF,Sangmu,24-270,2001,17,15,1332,14.8,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches,88ad1345
173,Kim Kang,kr KOR,FW,FC Anyang,19-053,2007,4,0,87,1.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,dcc78299
174,Lee Kanghyun,kr KOR,MF,Sangmu,28-027,1998,12,10,840,9.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,89573714
175,Yu Kanghyun,kr KOR,FW,Daejeon Hana,30-122,1996,11,3,314,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,43dfbf49
176,Han Karam,kr KOR,MF,FC Anyang,28-199,1998,12,7,598,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,43ba633b
177,Kim Keon-woong,kr KOR,DFMF,Jeju United,28-363,1997,9,6,584,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df416e60
178,Won Kijong,kr KOR,FW,Pohang Steelers,30-233,1996,5,2,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches,cdecfd32
179,Patryk Klimala,pl POL,FW,FC Seoul,28-022,1998,22,18,1551,17.2,10,1,11,9,1,1,7,0,0.58,0.06,0.64,0.52,0.58,Matches,0bf3c11c
180,Branislav Knežević,rs SRB,MF,FC Anyang,24-037,2002,8,6,493,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4d1541b
181,Anton Krivotsyuk,az AZE,DF,Daejeon Hana,27-364,1998,15,13,1186,13.2,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,2e755dfe
182,Lee Kunhee,kr KOR,FW,Sangmu,28-191,1998,23,17,1640,18.2,4,2,6,4,0,0,5,0,0.22,0.11,0.33,0.22,0.33,Matches,2a69bff3
183,Shin Kwang-hoon,kr KOR,DF,Pohang Steelers,39-162,1987,13,11,870,9.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,b2390654
184,Kim Kwangwon,kr KOR,FW,Pohang Steelers,22-223,2004,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e1c967e
185,Kim Kyeong-min,kr KOR,GK,Gwangju FC,34-299,1991,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4f42989
186,Choi Kyoung-rok,kr KOR,MFFW,Gwangju FC,31-165,1995,10,8,671,7.5,1,0,1,1,0,0,0,1,0.13,0.00,0.13,0.13,0.13,Matches,f9552f68
187,Lee Kyu-seong,kr KOR,MF,Ulsan HD,32-109,1994,25,21,1950,21.7,0,4,4,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,e69c1a93
188,Park Kyuhyun,kr KOR,DF,Daejeon Hana,25-135,2001,7,7,555,6.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,88ed2a5e
189,Kwon Kyung-won,kr KOR,DF,FC Anyang,34-208,1992,21,20,1759,19.5,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches,ad1516af
190,Roh Kyungho,kr KOR,MF,Sangmu,26-053,2000,3,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d174988
191,Park Kyungsub,kr KOR,DF,Incheon United,22-056,2004,12,9,828,9.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,250567f7
192,Leandro,br BRA,FW,Incheon United,31-226,1995,2,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6c3c0ae1
193,Adriel Loua,ci CIV,MF,Gwangju FC,30-033,1996,9,4,437,4.9,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,b13a2b09
194,Gustav Ludwigson,se SWE,MFFW,Daejeon Hana,32-311,1993,25,19,1561,17.3,4,4,8,4,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches,585fe2f8
195,Jorge Luiz,br BRA,MFFW,Pohang Steelers,27-067,1999,7,3,334,3.7,0,1,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches,63b74b47
196,Marcão,br BRA,FW,Ulsan HD,32-071,1994,12,6,570,6.3,5,2,7,4,1,1,0,0,0.79,0.32,1.11,0.63,0.95,Matches,7e57dcf9
197,Benji Michel,us USA,MF,Ulsan HD,28-308,1997,12,1,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,151ca25f
198,Jeon Min-gwang,kr KOR,DF,Pohang Steelers,33-222,1993,17,16,1420,15.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,5cd0e178
199,Lee Min-ki,kr KOR,DFMF,Gwangju FC,33-100,1993,13,7,519,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b7e6f5fe
200,Joo Min-kyu,kr KOR,FW,Daejeon Hana,36-136,1990,24,12,1175,13.1,5,1,6,5,0,0,1,0,0.38,0.08,0.46,0.38,0.46,Matches,aa128730
201,Kim Minduk,kr KOR,DF,Daejeon Hana,30-050,1996,9,6,647,7.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cdd82dc4
202,Kang Mingeu,kr KOR,FW,Sangmu,27-354,1998,7,2,176,2.0,0,1,1,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51,Matches,f877c1c5
203,Baek Mingyu,kr KOR,FW,Incheon United,20-280,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6864fe0e
204,Jang Mingyu,kr KOR,MF,Jeju United,27-174,1999,21,17,1476,16.4,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,c9237648
205,Shin Minha,kr KOR,DF,Gangwon FC,20-346,2005,18,10,949,10.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b343eab8
206,Lee Minhyeok,kr KOR,MF,Ulsan HD,24-220,2002,10,0,123,1.4,0,1,1,0,0,0,2,0,0.00,0.73,0.73,0.00,0.73,Matches,5e7b2380
207,Lee Minhyeok,kr KOR,MF,Incheon United,24-220,2002,2,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e7b2380
208,Kong Minhyu,kr KOR,FW,FC Anyang,36-220,1990,19,12,1125,12.5,2,2,4,2,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches,bd6dac23
209,Park MinJae,kr KOR,MFDF,Jeju United,20-270,2005,7,2,265,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,df5adfaf
210,Kang Minjun,kr KOR,MFDF,Pohang Steelers,23-141,2003,12,8,816,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1c3e60fc
211,Kim Minjun,kr KOR,FWMF,Bucheon FC,26-196,2000,19,10,705,7.8,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,5c47fcbd
212,Kim Minkwon,,DF,Jeju United,,,15,8,748,8.3,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,0d854986
213,Kim Minkyu,kr KOR,DF,Sangmu,28-148,1998,4,4,348,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8fe02d3b
214,Song Minkyu,kr KOR,MFFW,FC Seoul,26-349,1999,25,17,1634,18.2,5,4,9,5,0,0,3,0,0.28,0.22,0.50,0.28,0.50,Matches,97d38555
215,Moon Minseo,kr KOR,MFFW,Gwangju FC,22-190,2004,25,23,2085,23.2,6,1,7,5,1,1,4,0,0.26,0.04,0.30,0.22,0.26,Matches,411544b3
216,Park Minseo,kr KOR,DF,Sangmu,25-346,2000,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,583ebb1a
217,Seo Minwoo,kr KOR,MF,Gangwon FC,28-168,1998,23,19,1599,17.8,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches,662f05ad
218,Jhon Montaño,co COL,FW,Bucheon FC,29-112,1997,7,7,574,6.4,1,2,3,1,0,0,2,0,0.16,0.31,0.47,0.16,0.47,Matches,2809cc5f
219,Kim Moon-hwan,kr KOR,DF,Daejeon Hana,31-026,1995,24,20,1804,20.0,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,6bce7dd8
220,Bruno Mota,br BRA,FW,Jeonbuk,30-198,1996,23,16,1417,15.7,3,2,5,3,0,0,2,0,0.19,0.13,0.32,0.19,0.32,Matches,89ff1b5d
221,Stefan Mugoša,me MNE,FW,Incheon United,34-182,1992,21,12,1242,13.8,10,1,11,6,4,5,4,0,0.72,0.07,0.80,0.43,0.51,Matches,c41ca3d8
222,Lee Myung-jae,kr KOR,DF,Daejeon Hana,32-296,1993,18,15,1389,15.4,0,3,3,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,08d00071
223,Lee Myung-joo,kr KOR,MF,Incheon United,36-125,1990,23,19,1592,17.7,1,1,2,0,1,1,4,0,0.06,0.06,0.11,0.00,0.06,Matches,92ae9dec
224,Seo Myungguan,kr KOR,DF,Ulsan HD,23-277,2002,14,11,1013,11.3,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,5e7f7aa0
225,Kim Myungsun,kr KOR,DF,Incheon United,26-041,2000,21,21,1695,18.8,0,2,2,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches,f355dcf2
226,Emerson Negueba,br BRA,MFFW,Jeju United,25-276,2000,23,23,1838,20.4,5,3,8,3,2,2,3,1,0.24,0.15,0.39,0.15,0.29,Matches,0df60055
227,Gustavo Nescau,br BRA,FW,Bucheon FC,26-168,2000,2,2,150,1.7,0,1,1,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60,Matches,0682693b
228,Kento Nishiya,jp JPN,MF,Pohang Steelers,26-293,1999,20,14,1124,12.5,2,0,2,2,0,0,1,1,0.16,0.00,0.16,0.16,0.16,Matches,459c5cc3
229,Oberdan,br BRA,MF,Jeonbuk,31-028,1995,21,21,1754,19.5,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,6dee0d6c
230,Matheus Oliveira Santos,br BRA,FWMF,FC Anyang,28-333,1997,23,21,1870,20.8,10,5,15,7,3,5,1,1,0.48,0.24,0.72,0.34,0.58,Matches,df0d179d
231,Tiago Orobó,br BRA,FW,Jeonbuk,32-303,1993,17,5,573,6.4,4,1,5,4,0,0,2,0,0.63,0.16,0.79,0.63,0.79,Matches,5dd7d165
232,Thomas Oude Kotte,nl NED,MF,Ulsan HD,30-160,1996,8,6,611,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b9c19ad9
233,Thomas Oude Kotte,nl NED,DFMF,FC Anyang,30-160,1996,11,10,887,9.9,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,b9c19ad9
234,Patrick,br BRA,DF,Bucheon FC,29-085,1997,19,19,1672,18.6,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,e857a755
235,Gytis Paulauskas,lt LTU,FW,Jeonbuk,26-334,1999,6,4,306,3.4,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,738b30cd
236,Gytis Paulauskas,lt LTU,FW,Jeju United,26-334,1999,7,2,288,3.2,0,1,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches,738b30cd
237,Pedrinho,br BRA,MF,Ulsan HD,24-188,2002,5,2,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f27c48db
238,João Pedro,br BRA,DF,Gwangju FC,23-166,2003,9,8,754,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,63d989ca
239,York Rafael,rw RWA,MF,FC Anyang,27-163,1999,6,3,228,2.5,0,1,1,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,Matches,0c568277
240,Juninho Rocha,br BRA,MFFW,Pohang Steelers,28-295,1997,16,7,718,8.0,2,1,3,2,0,0,4,0,0.25,0.13,0.38,0.25,0.38,Matches,e7540cda
241,Leonardo Ruiz,co COL,FWMF,FC Seoul,30-131,1996,10,8,665,7.4,3,1,4,3,0,0,0,0,0.41,0.14,0.54,0.41,0.54,Matches,5ed6bf7a
242,Kim Ryunseong,kr KOR,DFMF,Jeju United,24-084,2002,20,20,1766,19.6,1,1,2,1,0,0,1,0,0.05,0.05,0.10,0.05,0.10,Matches,38ea198d
243,Emir Saitoski,mk MKD,FW,Gwangju FC,23-111,2003,1,1,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a38f2bd8
244,Min Sang-gi,kr KOR,DF,Gwangju FC,35-000,1991,11,7,568,6.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,12885cbe
245,Lee Sang-heon,kr KOR,FW,Sangmu,28-182,1998,13,6,622,6.9,0,1,1,0,0,0,2,1,0.00,0.14,0.14,0.00,0.14,Matches,e0672ada
246,Lee Sang-ki,kr KOR,DF,Incheon United,30-112,1996,3,2,138,1.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,064bbd28
247,Sim Sang-min,kr KOR,DFMF,Ulsan HD,33-098,1993,15,7,811,9.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5c28bdc3
248,Kang Sang-woo,kr KOR,MFFW,Ulsan HD,32-324,1993,14,9,631,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,d9ef4dbc
249,Cho Sanghyeok,kr KOR,FWMF,Pohang Steelers,22-216,2004,14,6,601,6.7,2,1,3,2,0,0,4,0,0.30,0.15,0.45,0.30,0.45,Matches,416a0ca6
250,Lee Sanghyeok,kr KOR,DF,Bucheon FC,25-233,2001,2,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86d937a1
251,Park Sanghyeok,kr KOR,FWMF,Gangwon FC,24-065,2002,16,6,627,7.0,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,711cba8c
252,Kim Sangjun,kr KOR,MF,Bucheon FC,24-330,2001,24,15,1440,16.0,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,ef54a718
253,Lee Sangmyung,kr KOR,DF,Jeonbuk,23-126,2003,4,2,198,2.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,6cbd3e4d
254,Shin Sangun,kr KOR,MFFW,Jeju United,27-007,1999,17,8,716,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,630b4f37
255,Kang Sangyoon,kr KOR,MF,Jeonbuk,22-088,2004,21,20,1728,19.2,1,2,3,1,0,0,3,0,0.05,0.10,0.16,0.05,0.16,Matches,40276392
256,Thiaguinho Santos,br BRA,MF,Bucheon FC,26-235,2000,20,15,1365,15.2,1,3,4,1,0,0,2,0,0.07,0.20,0.26,0.07,0.26,Matches,2427390a
257,Ju Se-jong,kr KOR,MF,Gwangju FC,35-301,1990,20,13,1142,12.7,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,ca8ca082
258,Park Sejin,kr KOR,FWMF,Sangmu,22-161,2004,20,18,1165,12.9,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,02ad10de
259,Jesse Sekidika,ng NGA,MF,Gangwon FC,30-044,1996,7,2,273,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,a28fd21d
260,Jang Seokhwan,kr KOR,DF,Gwangju FC,21-320,2004,6,1,223,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49dcbcf3
261,Choi Seokhyun,kr KOR,DFMF,Ulsan HD,23-226,2003,14,11,892,9.9,2,1,3,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,Matches,2b5e2806
262,Han Seokjin,kr KOR,FW,Jeonbuk,18-251,2007,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf26c89
263,Moon Seon-min,kr KOR,MF,FC Seoul,34-079,1992,23,7,874,9.7,3,5,8,3,0,0,2,0,0.31,0.51,0.82,0.31,0.82,Matches,61c75363
264,Cho Seonggwon,kr KOR,DF,Daejeon Hana,25-184,2001,19,19,1682,18.7,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,245ed47f
265,Cheon Seonghoon,kr KOR,FW,FC Seoul,25-340,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f1333503
266,Park Seonghoon,kr KOR,DF,FC Seoul,23-212,2003,10,5,538,6.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,20e1537f
267,Hong Seongmin,kr KOR,GK,Pohang Steelers,19-332,2006,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c646973b
268,Kim Seongmin,kr KOR,MF,Incheon United,26-055,2000,11,5,353,3.9,0,1,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,44e74ce3
269,Maeng Seongung,kr KOR,MF,Jeonbuk,28-204,1998,14,7,631,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,715dfd8e
270,Moon Seongwoo,kr KOR,MFFW,FC Anyang,23-104,2003,7,3,282,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2eb888ae
271,Hwang Seoung,kr KOR,MFFW,Pohang Steelers,21-217,2005,24,18,1303,14.5,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,77111930
272,Lim Seung-gyeom,kr KOR,DF,Gwangju FC,31-123,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b5af452
273,Jung Seung-hyun,kr KOR,DF,Ulsan HD,32-146,1994,22,20,1743,19.4,3,0,3,3,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,e0446c82
274,Lee Seung-mo,kr KOR,MF,FC Seoul,28-150,1998,25,12,1100,12.2,5,2,7,5,0,0,0,0,0.41,0.16,0.57,0.41,0.57,Matches,2fc16a80
275,Lee Seung-woo,kr KOR,MF,Jeonbuk,28-233,1998,24,11,1372,15.2,6,2,8,5,1,2,6,0,0.39,0.13,0.52,0.33,0.46,Matches,0f22b650
276,Son Seungbeom,kr KOR,FW,Pohang Steelers,22-115,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,defacdc6
277,Kim Seungbin,kr KOR,MFFW,Bucheon FC,26-180,2000,9,4,338,3.8,0,1,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches,87b430e2
278,Choi Seunggu,kr KOR,DF,Incheon United,20-333,2005,17,3,456,5.1,0,1,1,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches,c0b7b170
279,Kim Seungho,kr KOR,MF,Pohang Steelers,27-330,1998,19,9,876,9.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3555b6b3
