--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
33,Park Cheolwoo,kr KOR,DF,Sangmu,28-310,1997,21,20,1802,20.0,2,3,5,2,0,0,5,0,0.10,0.15,0.25,0.10,0.25,Matches,edbd81c9
34,Jung Chiin,kr KOR,MF,Incheon United,29-006,1997,16,6,474,5.3,0,1,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches,efd8c074
35,Hong Chul,kr KOR,DF,Gangwon FC,35-344,1990,6,3,274,3.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,c7de2245
36,Park Chung-hyo,kr KOR,GK,Gangwon FC,36-195,1990,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c55d736
37,Lee Chung-yong,kr KOR,FWMF,Incheon United,38-056,1988,24,14,1577,17.5,1,2,3,0,1,1,4,0,0.06,0.11,0.17,0.00,0.11,Matches,49b05a83
38,Lee Chunghyun,kr KOR,FW,Bucheon FC,18-349,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9bca7c41
39,Andrea Compagno,it ITA,FW,Jeonbuk,30-127,1996,2,0,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eb9bcb88
40,Kim Da-sol,kr KOR,GK,FC Anyang,37-235,1989,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00917f74
41,Kim Daewon,kr KOR,MFFW,Gangwon FC,29-198,1997,24,24,2090,23.2,7,7,14,6,1,1,5,0,0.30,0.30,0.60,0.26,0.56,Matches,3edb252e
42,Diogo,br BRA,FW,Daejeon Hana,29-266,1996,20,10,930,10.3,3,4,7,3,0,0,2,1,0.29,0.39,0.68,0.29,0.68,Matches,4e365f70
43,Kim Dohyun,kr KOR,DF,Gangwon FC,22-107,2004,16,6,804,8.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3a8909ce
44,Lee Dong-gyeong,kr KOR,MFFW,Ulsan HD,28-341,1997,24,20,1767,19.6,9,7,16,7,2,2,3,0,0.46,0.36,0.81,0.36,0.71,Matches,a6828876
45,Kim Dong-jin,kr KOR,DFMF,FC Anyang,33-242,1992,19,18,1594,17.7,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,138bbc1f
46,Kim Dong-jun,kr KOR,GK,Jeju United,31-251,1994,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c44f13c
47,Baek Dong-kyu,kr KOR,DF,Bucheon FC,35-089,1991,19,18,1648,18.3,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,1473e57a
48,Kim Dongheon,kr KOR,GK,Incheon United,29-177,1997,20,19,1721,19.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bfa412a7
49,Kim Donghwa,kr KOR,GK,Gwangju FC,23-112,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56d14d24
50,Kim Donghyeon,kr KOR,FWMF,Bucheon FC,23-255,2002,10,3,400,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,594fad7c
51,Kim Donghyun,kr KOR,MF,Gangwon FC,29-077,1997,11,4,421,4.7,2,0,2,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,999d1192
52,Kim Dongjin,kr KOR,MFDF,Pohang Steelers,23-028,2003,24,18,1460,16.2,0,3,3,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,ef38c606
53,Lee Dongjun,kr KOR,MF,Jeonbuk,29-207,1997,24,24,1687,18.7,3,3,6,3,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches,96d0b6f0
54,Lee Dongryul,kr KOR,MF,Incheon United,26-079,2000,23,13,1054,11.7,3,2,5,3,0,0,1,0,0.26,0.17,0.43,0.26,0.43,Matches,4fb71185
55,Hwang Doyun,kr KOR,MF,FC Seoul,23-140,2003,11,4,366,4.1,1,1,2,1,0,0,1,0,0.25,0.25,0.49,0.25,0.49,Matches,816f2cbf
