--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
70,Kim Gun-hee,kr KOR,FW,Gangwon FC,31-186,1995,6.2,0,5,4,80.0,0.80,0.64,0.00,0.00,0,1,Matches,cbb61de9
71,Min Gyeonghyeon,kr KOR,MF,Sangmu,24-254,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,be39c302
72,Choi Gyuhyeon,kr KOR,MF,FC Anyang,25-342,2000,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,0,0,Matches,399d642c
73,Jung Gyumin,kr KOR,MF,Gwangju FC,19-235,2007,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,7096de36
74,Kim Hajun,kr KOR,DF,Jeonbuk,24-041,2002,6.1,1,1,0,0.0,0.16,0.00,1.00,,0,0,Matches,87d50cdc
75,Lee Han-do,kr KOR,DF,FC Seoul,32-164,1994,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,9b5cb7de
76,Jung Hanmin,kr KOR,FW,Pohang Steelers,25-231,2001,2.3,1,3,1,33.3,1.33,0.44,0.33,1.00,0,0,Matches,4deb2dfe
77,Roh Heedong,kr KOR,GK,Gwangju FC,24-085,2002,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,3a77c3af
78,Lee Heonjae,kr KOR,FW,Pohang Steelers,20-157,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,73baf5d0
79,Breno Herculano,br BRA,FW,FC Anyang,27-192,1999,8.0,2,12,2,16.7,1.50,0.25,0.17,1.00,0,0,Matches,83b2c094
80,Abdallah Hleihil,il ISR,FW,Gangwon FC,25-228,2001,6.4,7,22,11,50.0,3.43,1.71,0.32,0.64,0,0,Matches,28c144b9
81,Lee Hojae,kr KOR,FW,Pohang Steelers,25-317,2000,18.7,8,24,7,29.2,1.28,0.37,0.33,1.14,4,4,Matches,558c9a3d
82,Jeong Hojin,kr KOR,DF,Bucheon FC,27-021,1999,10.4,0,0,0,,0.00,0.00,,,0,0,Matches,0b94353d
83,Kim Hojin,kr KOR,DF,Pohang Steelers,20-332,2005,12.6,0,3,0,0.0,0.24,0.00,0.00,,0,0,Matches,66b4612d
84,Park Homin,kr KOR,FW,Incheon United,24-322,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,3d9d4045
85,Park Hoyoung,kr KOR,DF,Gangwon FC,27-142,1999,1.2,0,1,0,0.0,0.83,0.00,0.00,,0,0,Matches,56ba7888
86,Lee Huigyun,kr KOR,MFFW,Ulsan HD,28-120,1998,12.8,1,8,3,37.5,0.62,0.23,0.13,0.33,0,0,Matches,2cb40392
87,Kang Huisu,kr KOR,MF,Gwangju FC,23-183,2003,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,e4aea221
