--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
322,Jung Won-jin,kr KOR,MF,Incheon United,32-017,1994,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,91943640
323,Park Wonjae,kr KOR,DF,Gwangju FC,32-112,1994,3.7,0,0,0,,0.00,0.00,,,0,0,Matches,7790bff4
324,Um Wonsang,kr KOR,MF,Daejeon Hana,27-233,1999,6.9,2,15,7,46.7,2.19,1.02,0.13,0.29,0,0,Matches,9157dbbf
325,Cho Wonwoo,kr KOR,FW,Gangwon FC,21-107,2005,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,cee05afd
326,Choi Woojin,kr KOR,DF,Jeonbuk,22-040,2004,14.0,1,6,1,16.7,0.43,0.07,0.17,1.00,0,0,Matches,b53e9cdd
327,Kim Woojin,kr KOR,MF,Gwangju FC,21-113,2005,1.9,0,2,0,0.0,1.03,0.00,0.00,,0,0,Matches,cef96800
328,Chung Woon,kr KOR,DF,Jeju United,37-058,1989,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,68a424cc
329,Kim Yegeon,kr KOR,MF,Jeonbuk,18-020,2008,2.9,1,10,4,40.0,3.47,1.39,0.10,0.25,0,0,Matches,fb00aaba
330,Sung Yegeon,kr KOR,MF,Bucheon FC,20-301,2005,6.0,2,6,4,66.7,1.01,0.67,0.33,0.50,0,0,Matches,75ef3f80
331,Lee Yeong-jae,kr KOR,MF,Jeonbuk,31-348,1994,2.8,0,6,0,0.0,2.14,0.00,0.00,,0,0,Matches,e4c18bc4
332,Kim Yesung,kr KOR,DF,Pohang Steelers,29-310,1996,6.4,0,1,0,0.0,0.16,0.00,0.00,,0,0,Matches,09027759
333,Kim Yiseok,kr KOR,MFFW,Sangmu,28-069,1998,6.0,1,6,3,50.0,1.00,0.50,0.17,0.33,0,0,Matches,da2489c8
334,Ri Yong-jik,kp PRK,MF,Gwangju FC,35-200,1991,3.5,0,3,1,33.3,0.86,0.29,0.00,0.00,0,0,Matches,2edf857a
335,Kim Yonghak,kr KOR,MFFW,Pohang Steelers,23-099,2003,3.9,0,0,0,,0.00,0.00,,,0,0,Matches,be92df85
336,Hong Yongjun,kr KOR,MF,Gwangju FC,23-154,2003,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,0,0,Matches,200262e8
337,Kim Yongwook,,DFMF,Gwangju FC,,,9.9,0,2,0,0.0,0.20,0.00,0.00,,0,0,Matches,dc938ca2
338,Heo Yool,kr KOR,FW,Ulsan HD,25-137,2001,1.5,2,1,1,100.0,0.68,0.68,2.00,2.00,0,0,Matches,2880ba02
339,Lee You-hyeon,kr KOR,MF,Gangwon FC,29-200,1997,19.5,2,22,8,36.4,1.13,0.41,0.09,0.25,0,0,Matches,a4cf8951
340,Kim Young-bin,kr KOR,DF,Jeonbuk,34-341,1991,21.3,2,8,3,37.5,0.38,0.14,0.25,0.67,0,0,Matches,3d3da10c
341,Kim Young-chan,kr KOR,DF,FC Anyang,32-357,1993,12.0,1,0,0,,0.00,0.00,,,0,0,Matches,145c7bde
342,Kim Young-gwon,kr KOR,DF,Ulsan HD,36-181,1990,13.3,1,6,2,33.3,0.45,0.15,0.17,0.50,0,0,Matches,9459ace1
343,Ahn Young-kyu,kr KOR,DF,Gwangju FC,36-266,1989,14.2,0,0,0,,0.00,0.00,,,0,0,Matches,979307e9
344,Seo Youngjae,kr KOR,DF,Daejeon Hana,31-096,1995,1.5,0,0,0,,0.00,0.00,,,0,0,Matches,9caae30d
345,Goh Youngjun,kr KOR,FWMF,Gangwon FC,25-049,2001,14.8,1,13,6,46.2,0.88,0.40,0.08,0.17,0,0,Matches,f1c1e9c3
346,Kim Youngwhan,kr KOR,MFFW,Incheon United,24-157,2002,1.9,0,3,1,33.3,1.59,0.53,0.00,0.00,0,0,Matches,ee3d00f3
347,Cho Youngwook,kr KOR,FWMF,FC Seoul,27-203,1999,8.2,3,8,3,37.5,0.98,0.37,0.38,1.00,0,0,Matches,c0b4f2c7
348,Kang Yun-seong,kr KOR,MFDF,Daejeon Hana,29-057,1997,13.0,0,11,1,9.1,0.85,0.08,0.00,0.00,0,0,Matches,81c93371
349,Kang Yungu,kr KOR,MFFW,Gangwon FC,24-141,2002,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,a9f44951
350,Kim Yunho,kr KOR,FW,Gwangju FC,19-106,2007,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,e817879a
351,Hong Yunsang,kr KOR,MF,Sangmu,24-161,2002,10.9,2,7,1,14.3,0.64,0.09,0.29,2.00,0,0,Matches,ee945e21
